순번,영화명,주연 top50 출연 여부,배급사,수상내역,국적,국적,전국 스크린수,전국 매출액,전국 관객수,장르,경쟁작,가족,공연,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,SF,러닝타임,연휴 및 기념일 상영 여부,네티즌 평점,top영화감독 여부,연작,원작,수상,전체관람가,12세관람가,15세관람가,19세관람가,연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP2% (104개정도이고 최저 점유율 대략 17.7%)),연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP5% (260개이고 최저 점유율 대략 7.6%))
31,아바타,1,0,25,0,미국,912 ,84657811417 ,8435381 ,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,162,1,9.07,0,0,0,0,0,1,0,0,1,1
32,백두산,1,1,1,1,한국,1971 ,69825366300 ,8252669 ,어드벤처,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,128,1,5.74,1,0,0,0,0,1,0,0,1,1
33,스파이더맨: 파 프롬 홈,1,0,2,0,미국,2142 ,69000711100 ,8020208 ,액션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,129,0,8.37,1,1,0,0,0,1,0,0,0,0
34,트랜스포머 3,0,1,0,0,미국,1409 ,74841350500 ,7784807 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,152,0,7.06,1,1,0,0,0,1,0,0,0,0
35,히말라야,1,1,2,1,한국,1009 ,60173583015 ,7759473 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,124,1,7.98,1,0,0,0,0,1,0,0,1,1
36,미션임파서블:고스트프로토콜,1,1,2,0,미국,1038 ,57795846000 ,7575899 ,액션,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,132,1,8.74,1,1,1,0,0,0,1,0,1,1
37,밀정,1,0,13,1,한국,1444 ,61158644831 ,7487545 ,액션,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,140,1,8.43,0,0,1,0,0,0,1,0,1,1
38,최종병기 활,1,1,14,1,한국,615 ,55808856500 ,7466976 ,사극,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,122,1,7.87,1,0,0,0,0,0,1,0,1,1
39,써니,1,1,3,1,한국,472 ,53773170600 ,7328820 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,124,0,9.11,0,0,0,0,0,0,1,0,0,1
40,스파이더맨: 홈 커밍,1,0,1,0,미국,1965 ,59120173820 ,7257973 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,133,0,8.36,1,0,0,0,0,1,0,0,0,0
41,1987,1,1,26,1,한국,1299 ,58165581145 ,7231638 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,129,0,9.23,1,0,0,0,0,0,1,0,1,1
42,베를린,1,1,6,1,한국,894 ,52354931637 ,7166199 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,120,0,7.83,1,0,0,0,0,0,1,0,1,1
43,터널,1,1,2,1,한국,1105 ,57510324417 ,7118592 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,126,0,8.36,0,0,1,0,0,1,0,0,1,1
44,어벤져스,1,1,0,0,미국,967 ,59557853478 ,7074867 ,액션,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,142,1,8.8,1,0,0,0,0,1,0,0,1,1
45,내부자들,1,1,18,1,한국,1075 ,56596582057 ,7071763 ,범죄,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,130,0,8.99,0,0,1,0,0,0,0,1,0,0
46,인천상륙작전,1,1,4,1,한국,1049 ,55101410303 ,7049643 ,전쟁,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 ,110,0,8.03,1,0,0,0,0,1,0,0,0,1
47,럭키,1,1,1,1,한국,1158 ,56361435256 ,6965706 ,코미디,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,112,0,8.45,0,0,0,0,0,0,1,0,0,0
48,은밀하게 위대하게,0,1,3,1,한국,1341 ,48663939413 ,6953800 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,123,0,7.12,0,0,1,0,0,0,1,0,0,0
49,곡성,1,0,18,1,한국,1485 ,55853108382 ,6878264 ,미스터리,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 ,156,1,7.61,0,0,0,0,0,0,1,0,0,1
50,범죄도시,1,0,8,1,한국,1315 ,56077813249 ,6851297 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,121,0,9.14,0,0,0,0,0,0,0,1,0,1
51,늑대소년,1,1,3,1,한국,706 ,46593107500 ,6654837 ,멜로/로맨스,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,125,0,8.65,0,0,0,0,0,0,1,0,0,0
52,군함도,1,1,11,1,한국,2027 ,50510565168 ,6592151 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,132,0,5.29,1,0,0,0,0,0,1,0,0,0
53,미션 임파서블: 폴아웃,1,1,2,0,미국,1957 ,55888375112 ,6584915 ,액션,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,147,0,9.12,0,1,1,0,0,0,1,0,0,0
54,다크 나이트 라이즈,1,0,1,0,미국,1210 ,47644838000 ,6396528 ,액션,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,164,0,9.02,1,1,0,0,0,0,1,0,0,0
55,아저씨,0,0,16,1,한국,478 ,47870792359 ,6282774 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,119,1,9.24,0,0,0,0,0,0,0,1,0,0
56,사도,1,1,22,1,한국,1210 ,48842902501 ,6246849 ,사극,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,125,0,8.27,0,0,0,0,0,1,0,0,1,1
57,미션 임파서블: 로그네이션,1,1,0,0,미국,1202 ,48547353607 ,6126488 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,131,0,8.74,0,1,1,0,0,0,1,0,0,1
58,킹스맨 : 시크릿 에이전트,1,0,0,0,미국,706 ,50333635795 ,6125154 ,액션,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,128,0,8.81,0,0,1,0,0,0,0,1,1,1
59,연평해전,1,1,5,1,한국,1013 ,45560620330 ,6043458 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,130,0,9.01,0,0,0,0,0,1,0,0,0,0
